TRANSACTION_ID,CUST_ID,AMOUNT,TRANSACTION_TYPE,TRANSACTION_DATE,DESCRIPTION
83,2869,8162.15,Transfer,2021-05-28,Agreement coach lot start our sound from.
84,9179,8007.32,Debit,2021-02-26,Heavy firm style suffer audience someone paper land.
85,4883,2457.92,Withdrawal,2021-04-16,Front see do education paper seat parent.
86,6460,5473.98,Refund,2022-08-15,Society perform bad window center small.
87,7689,5481.12,Refund,2023-10-24,Different community bag herself.
88,1045,7767.82,Transfer,2024-04-01,Above training painting part if job.
89,6451,9752.36,Deposit,2025-01-24,Current responsibility room do.
90,2179,4388.97,Refund,2024-02-23,Stock career establish strategy.
91,7540,7362.56,Refund,2024-03-22,Kind arm former open cell respond.
92,8313,5727.49,Withdrawal,2023-05-13,Place ten camera share boy staff.
93,307,2316.27,Credit,2023-09-19,Thousand alone network person teach low laugh.
94,1008,7862.62,Transfer,2021-11-17,Recognize company receive herself.
95,8899,2612.46,Withdrawal,2024-06-07,See actually wide successful.
96,6279,9608.21,Withdrawal,2022-12-04,Computer to us fire common finish window.
97,8426,3948.92,Deposit,2023-08-28,Various industry record tonight and.
98,897,1480.62,Credit,2025-06-08,Most class store I.
99,6758,2045.08,Debit,2023-12-11,Upon become bed race minute identify better summer.
100,6342,6096.77,Credit,2024-10-21,Full here develop cold couple one keep.
101,5862,5359.9,Debit,2021-01-05,Individual believe yet many spring season wrong.
102,3578,3259.28,Credit,2023-03-22,Seem simply word view sing successful.
103,3776,3522.95,Withdrawal,2025-01-13,Medical while sort wonder.
104,4101,4060.28,Refund,2024-07-02,Sit expert discuss along.
105,249,5089.63,Deposit,2023-09-14,Turn child hotel quite five.
106,4511,680.79,Debit,2021-06-17,Bad member make mouth.
107,9188,5871.15,Deposit,2021-08-09,Easy after film public worker.
108,4139,415.41,Deposit,2024-12-19,Change reality read sit street few entire.
109,3393,5273.42,Deposit,2022-05-02,Need nice speech employee fill upon mother.
110,1604,5821.9,Deposit,2022-04-20,Yes scene short wide woman.
111,8532,6353.55,Withdrawal,2023-07-07,Career however power media.
112,393,1640.54,Credit,2024-07-21,Day determine cultural trade management program rate.
113,5833,9489.04,Debit,2023-05-02,Condition each political move degree pay.
114,4385,9493.44,Refund,2024-01-04,Good cost wait property visit need develop.
115,8645,244.91,Withdrawal,2022-07-25,Sound pretty hold game situation team.
116,2595,4732.38,Deposit,2023-11-08,Than increase big seek film western last.
117,425,1732.52,Credit,2022-09-07,She same open region write suggest save.
118,347,4270.29,Deposit,2021-03-03,Lot speech value court.
119,3268,8065.47,Transfer,2023-09-18,Wonder professional through table partner leg reason right.
120,1530,5661.66,Refund,2023-08-24,Happy feel end know.
121,6699,6978.96,Deposit,2020-11-13,Almost long record manage first.
122,4775,8354.42,Deposit,2020-09-03,Table get professional out table meet.
123,5780,6854.52,Transfer,2022-09-12,Realize establish full often source like.
124,1365,9103.18,Credit,2024-05-25,Test age range one interview tell.
125,4550,6986.43,Withdrawal,2021-05-25,Minute weight measure although according instead prevent three.
126,449,98.55,Deposit,2025-04-20,Particularly begin pass worry contain.
127,8140,885.31,Transfer,2023-10-30,Reach really increase space fine.
128,5499,5869.65,Deposit,2022-09-03,Realize none hard join where.
129,7003,8603.32,Withdrawal,2023-03-09,Machine father factor north industry memory conference.
130,1713,379.37,Credit,2022-07-21,Much factor exist really listen person law major.
131,804,2183.17,Debit,2025-07-27,Strategy particular hard economic shake health car from.
132,2064,9957.63,Credit,2024-11-07,Yes similar happen central model.
133,3127,7046.67,Deposit,2024-12-16,Network put new agency police middle.
134,2518,2730.99,Withdrawal,2024-10-22,Center choose green mother international military resource return.
135,6744,4556.05,Withdrawal,2022-03-03,Central according nothing conference.
136,9829,3726.34,Debit,2024-04-17,Toward firm whether plant me arrive between.
137,7008,1833.7,Debit,2023-11-29,Worry beyond watch senior claim officer.
138,2790,9718.59,Withdrawal,2024-09-24,News marriage see attorney big summer.
139,9302,3435.24,Deposit,2020-11-01,Mean successful item accept term usually process.
140,2822,4214.35,Deposit,2022-04-09,Religious foot thank case responsibility cut its.
141,2653,8076.86,Deposit,2024-12-20,Account practice writer measure get much rest watch.
142,2225,5963.7,Transfer,2024-04-07,Film fish wall though off.
143,8006,6662.0,Deposit,2025-04-01,Raise continue trial hope box.
144,4447,1326.57,Transfer,2024-03-02,Full where fast often share commercial.
145,1901,7496.48,Debit,2023-10-07,Debate forward apply might boy to with.
146,3019,5411.94,Deposit,2022-02-22,Black system skill issue few include.
147,2793,7486.78,Credit,2022-10-01,Above natural garden.
148,3552,3659.97,Credit,2021-11-09,Three these establish finish still central maybe.
149,9956,8318.78,Deposit,2025-01-09,Threat lose style black police factor course.
150,1514,6771.42,Withdrawal,2021-03-05,Main month age course.
151,8509,8321.75,Debit,2024-08-14,Health would power sister account.
152,7947,101.34,Credit,2021-12-05,Collection impact determine.
153,1455,648.69,Debit,2023-01-27,Charge but toward front least.
154,5355,8402.47,Debit,2021-05-21,Maybe everybody develop society decade consider behavior.
155,4216,7064.01,Credit,2025-03-15,Present coach deep value movement event pick create.
156,4085,1832.75,Deposit,2021-04-14,Wait under center want opportunity while.
157,5183,251.9,Debit,2020-08-09,Six second deal wonder lay box identify.
158,5773,2592.38,Refund,2023-07-20,Tend half college not Mrs nor will.
159,2341,5443.38,Credit,2024-06-22,Take bring sound need night cold total.
160,9552,7143.57,Transfer,2024-04-15,Whom thousand month edge race special while.
161,7121,1243.53,Transfer,2021-11-03,Can each another little whose.
162,9495,6227.28,Transfer,2021-11-14,Great measure how inside friend indicate focus.
163,2887,2594.9,Refund,2022-02-22,Free idea response short nearly within.
164,2846,9412.54,Credit,2024-03-20,Kid civil management site start able step.
165,7530,3391.64,Transfer,2023-10-08,At treatment single.
166,8735,7017.5,Transfer,2025-03-16,Sister themselves plant front.
167,759,2626.09,Refund,2022-11-26,Adult under talk huge several its side.
168,7819,509.72,Refund,2021-08-16,Grow wide everybody fast.
169,8677,3692.99,Credit,2023-02-21,Ten language black keep can grow describe explain.
170,5308,3635.32,Deposit,2024-10-17,Authority lose own character truth wrong scene class.
171,2507,1309.2,Deposit,2025-03-21,Laugh as within pass.
172,2011,7070.1,Withdrawal,2020-12-07,Between method none company laugh boy color.
173,6904,373.26,Deposit,2021-05-25,Phone unit tend paper lawyer fine expert.
174,4003,9060.3,Withdrawal,2025-05-12,Television around stay.
175,1524,6725.2,Debit,2023-01-01,Social wait lead soon than writer push.
176,6109,74.02,Debit,2021-10-20,Player economic under maintain.
177,3378,3844.39,Withdrawal,2020-12-07,When page too easy PM billion agency.
178,8548,1966.76,Withdrawal,2023-03-10,Rule true point thing thought tough move.
179,2795,926.79,Deposit,2025-07-06,Degree very way laugh stay assume any day.
180,280,9058.05,Refund,2021-03-21,Garden all rock road.
181,8316,4821.66,Transfer,2024-09-17,Inside test computer finally determine.
182,7346,5672.17,Debit,2022-03-03,Fish movement likely economic drug much interest.
183,4610,9486.63,Transfer,2022-08-04,Civil huge already happy vote particularly billion.
184,620,3706.14,Refund,2023-05-14,Send door fight road.
185,4654,5178.99,Refund,2021-08-28,Participant pressure along up write from.
186,4600,9983.15,Credit,2024-03-20,Team example item beyond church.
187,8511,1474.15,Refund,2021-11-04,Carry have series continue question top another deep.
188,6201,1873.34,Credit,2023-01-02,Also him allow eat call at.
189,3215,1905.66,Deposit,2023-03-24,Peace technology soldier interview.
190,9658,1235.04,Credit,2021-12-26,Seem ready certainly ball.
191,1192,6137.79,Credit,2023-11-28,Skill character that institution.
192,3964,7327.94,Credit,2021-03-21,Scene present dark gun situation.
193,4368,9052.88,Debit,2021-11-10,Fire spring best.
194,7612,6092.29,Debit,2022-03-04,Draw financial against stage agent.
195,1028,4574.83,Refund,2024-02-11,Specific practice event appear nothing pull.
196,552,7786.84,Refund,2025-06-08,Concern across network clearly eight wide current hotel.
197,4252,6333.97,Debit,2021-06-20,Necessary soldier raise continue form.
198,8172,3273.71,Credit,2023-05-21,Seek hand share action school.
199,5848,289.7,Transfer,2023-03-21,Cell ten agent doctor anyone ten.
200,2767,5990.27,Credit,2023-06-15,Billion others position develop.
201,3904,866.5,Transfer,2024-03-10,Thank ahead soon just present election simply.
202,2506,5769.92,Debit,2023-06-30,News including all often might music would.
203,4204,9721.63,Debit,2022-11-10,Add report far carry true site.
204,3336,9850.01,Credit,2022-12-13,Evening single detail news item.
205,5038,9394.22,Deposit,2023-04-02,Eat draw fire boy.
206,5676,2706.58,Deposit,2021-03-20,Rock center almost every.
207,1159,5500.36,Withdrawal,2022-06-29,Miss carry Republican significant.
208,6691,7731.74,Credit,2023-12-02,Walk himself structure here some huge.
209,5060,4880.72,Credit,2020-09-29,Dark safe beautiful cause commercial here similar.
210,584,5659.45,Refund,2023-11-24,Pick on check as need music instead.
211,2290,4393.81,Transfer,2022-08-27,White above in up.
212,2710,7744.79,Deposit,2024-02-18,Watch yeah house live read study rate.
213,2890,842.84,Deposit,2024-06-14,Business plan where six.
214,4524,921.21,Transfer,2023-01-16,Either here move old base television person.
215,620,5371.49,Withdrawal,2020-10-29,Many sit discussion management nor.
216,9199,4232.6,Withdrawal,2021-05-14,Side young dream story.
217,9077,54.01,Transfer,2020-09-29,Million operation public writer ever.
218,5126,4282.58,Deposit,2021-05-18,Hour say thus probably writer push.
219,6900,8526.14,Withdrawal,2023-04-21,Hotel paper down training pass.
220,912,5053.08,Refund,2023-07-11,According campaign though past.
221,4565,3205.69,Deposit,2024-12-12,Song sit stuff could through media make.
222,7641,5323.83,Credit,2021-04-03,Drive TV somebody type their this.
223,5369,4575.19,Debit,2024-09-27,Professional national window writer agree person.
224,1101,7776.0,Withdrawal,2023-01-24,Single people draw wind history security everyone.
225,9318,6633.96,Transfer,2021-03-08,Appear view item would car.
226,6346,3485.76,Debit,2025-05-20,Tv its significant professor station name share treatment.
227,2877,9845.07,Refund,2021-02-23,Walk trade avoid pass wear task.
228,4136,3694.89,Debit,2024-04-20,Treatment time father during.
229,2165,3406.66,Transfer,2025-06-08,Center budget about stage opportunity wife.
230,9648,3023.03,Refund,2024-12-13,Yet one health foot professor project.
231,7581,6331.06,Credit,2021-05-31,Medical mission join top gas everybody bank.
232,6133,228.86,Transfer,2023-04-03,World major official worker often us marriage.
233,6008,2811.65,Withdrawal,2023-03-26,Seem side off involve.
234,2643,9620.58,Deposit,2024-08-07,Leader tend where every care writer make.
235,526,2787.4,Credit,2025-05-12,Professional end few step direction able hair.
236,3819,1389.97,Transfer,2021-12-02,Nation evidence special growth once care wish.
237,7946,5663.31,Deposit,2023-08-05,Meet better white.
238,8021,2268.08,Debit,2025-01-24,Important song animal.
239,3986,9608.34,Credit,2021-09-17,Road run break relationship fact state.
240,3666,3726.66,Transfer,2023-03-17,Entire crime question structure along.
241,2272,6966.84,Withdrawal,2020-11-02,You between choose everything affect walk need.
242,7794,5773.91,Withdrawal,2024-11-28,White bad these cost look allow wind.
243,9736,2426.88,Transfer,2024-09-08,Medical dog energy over bed.
244,6898,1613.3,Debit,2022-01-04,Heart authority our.
245,5470,9923.4,Debit,2023-04-25,Image business own during old.
246,7396,5553.26,Credit,2021-05-06,Time watch wife only will everyone decide head.
247,4718,7038.05,Debit,2020-10-19,Daughter rule southern agency we.
248,2051,2605.73,Transfer,2021-05-21,Interesting source serious throughout note kid term.
249,6079,4429.25,Transfer,2025-02-16,Minute interesting score.
250,1590,7209.11,Deposit,2024-02-07,Executive yard physical how apply we.
251,7690,6124.83,Deposit,2025-06-20,Two fast forget because issue result.
252,7767,148.08,Withdrawal,2020-09-27,Staff game case dog political him fall.
253,7930,1562.67,Debit,2022-05-24,Four hope opportunity bring worker few man.
254,9883,2999.55,Refund,2025-02-18,Skin big far.
255,4916,1536.24,Debit,2021-12-26,Stuff young piece record because visit.
256,9777,580.64,Deposit,2025-05-27,Memory growth claim price middle compare color.
257,951,6581.77,Deposit,2024-02-21,Ball tree college left hit.
258,457,7245.08,Transfer,2020-10-13,Seem lay we bank analysis too anything.
259,1641,1581.94,Transfer,2023-12-26,Material Democrat man group laugh civil but.
260,1997,9610.93,Deposit,2021-04-27,Save speak must research family partner quality.
261,181,9398.81,Deposit,2021-06-07,Gas new report together minute store.
262,5148,7391.73,Credit,2022-08-11,Parent us same nation series tree.
263,4408,2700.68,Withdrawal,2024-08-22,Central newspaper sing religious.
264,3220,1598.26,Refund,2021-04-02,Nature crime yet student shoulder.
265,2019,8747.71,Transfer,2021-06-27,Provide partner go debate.
266,9268,4108.51,Withdrawal,2021-03-10,Range somebody travel west.
267,477,5241.86,Credit,2022-09-06,Common economy like or hard environmental fly officer.
268,3335,5058.69,Refund,2020-08-18,System leader politics born.
269,2619,9861.93,Debit,2024-05-23,Same customer similar explain account.
270,8848,9252.42,Credit,2021-02-06,Go evening lead agency long story.
271,6093,1235.66,Refund,2024-11-11,Example cold forward could.
272,3610,3301.15,Refund,2021-10-01,News form blood subject test rate whole risk.
273,679,6745.04,Deposit,2024-06-06,Court them single capital career crime exist.
274,8799,9094.56,Credit,2024-07-05,Recently ok pick road player.
275,3922,2913.61,Transfer,2025-03-05,Health capital course southern building.
276,5710,8404.02,Withdrawal,2024-11-28,Save else after camera behind surface sign.
277,9349,334.59,Refund,2023-08-19,Source eight consumer while.
278,7247,8087.54,Transfer,2020-08-07,Very fight which young pay.
279,1210,4864.49,Debit,2021-05-04,Response great item happy then interest worry them.
280,8587,5139.57,Transfer,2020-12-05,Education difference land capital spend experience material.
281,5341,7048.56,Credit,2025-01-12,Thing speak adult song step must.
282,7419,9116.84,Refund,2021-10-03,Art threat service now.
283,560,4632.89,Withdrawal,2025-04-13,President whom amount start site project.
284,8537,7579.32,Deposit,2024-05-30,Same center along glass.
285,1663,3295.84,Deposit,2021-06-06,Energy similar catch race imagine.
286,9042,4270.37,Credit,2022-01-25,Culture color population long stay.
287,7225,9903.08,Deposit,2020-09-08,Trade make hair represent quite.
288,6483,7266.7,Withdrawal,2021-08-09,Unit call game trial appear wear painting leader.
289,9753,5269.39,Credit,2023-01-12,Write difficult big me recently fund eight.
290,3426,1678.81,Deposit,2024-01-30,Sound standard bill article protect behind.
291,1551,5418.42,Transfer,2023-06-09,Practice audience require think on entire they.
292,8768,4298.06,Withdrawal,2023-11-22,If either security many another customer sort.
293,451,73.46,Refund,2022-12-02,Law suddenly hundred home each new.
294,9221,7762.45,Refund,2024-12-29,Defense cause adult get feeling career direction ball.
295,9455,6871.95,Credit,2024-03-16,Teacher strategy for on item act stand.
296,5272,8273.34,Deposit,2021-08-12,Toward who become still have pick large.
297,8190,586.21,Deposit,2024-05-26,Well treatment factor several house foot amount.
298,480,3501.65,Transfer,2024-09-24,College sign century seek view produce medical.
299,4066,4832.63,Refund,2023-03-06,Eye step somebody strong plant budget.
300,4941,8665.15,Credit,2023-11-23,Yourself sense moment thus style.
301,4201,1256.51,Credit,2024-08-30,Lot actually rich likely safe girl.
302,2555,8195.84,Withdrawal,2022-10-19,Around suddenly onto factor government network.
303,9260,2674.98,Debit,2023-11-27,See why others put direction into.
304,3798,9823.09,Debit,2023-05-01,Understand break raise popular off.
305,7605,9295.22,Withdrawal,2024-03-27,Focus give then happy.
306,6541,5078.24,Transfer,2022-11-29,Main paper from.
307,5524,7523.98,Credit,2023-05-02,Quality then today other catch thousand girl.
308,8262,213.2,Transfer,2025-04-08,Assume single off town partner thousand modern ball.
309,5841,8496.15,Deposit,2021-05-03,Ago eat up should fund.
310,2342,595.08,Deposit,2021-11-18,Play ten movement its anyone.
311,875,8663.99,Refund,2023-05-13,Particularly during good environmental let meet other human.
312,1218,873.33,Deposit,2024-04-16,Cause professor consumer before.
313,3256,6885.7,Withdrawal,2022-03-08,Last speech stop ever.
314,3325,6682.64,Withdrawal,2022-03-19,Similar consumer arrive.
315,274,8187.46,Transfer,2020-08-23,Answer institution business bill stay support we.
316,1743,6554.77,Deposit,2024-07-17,Question whole time big cultural month.
317,1808,7143.98,Transfer,2021-04-20,Over this respond development effort.
318,5960,2993.36,Debit,2021-07-23,Daughter report attention break shake Mr.
319,8010,3404.08,Credit,2022-07-11,Experience season most support close.
320,3637,7232.51,Deposit,2024-05-01,Know add we anyone create make wrong.
321,551,8851.16,Transfer,2020-11-24,Within city tend discuss.
322,8142,1749.03,Withdrawal,2024-01-08,Seven debate this former memory individual away.
323,7345,608.11,Deposit,2020-10-31,Spring some nature difficult threat treatment.
324,8172,9153.11,Credit,2023-02-02,Step fear budget probably upon catch his beautiful.
325,8051,3168.92,Debit,2020-11-21,Bar wife must rather window.
326,6060,7838.9,Withdrawal,2024-07-17,Challenge theory over debate.
327,9471,410.96,Transfer,2023-11-19,Skin couple morning represent out drop yeah.
328,48,3015.35,Refund,2023-06-21,Sit likely out hard foreign.
329,3939,1372.7,Withdrawal,2025-04-13,Know lot her degree very.
330,3185,9259.08,Deposit,2022-08-27,Such job short anyone require positive crime.
331,6078,9367.25,Transfer,2025-04-20,Similar north most leg.
332,6149,6108.59,Transfer,2024-10-21,Financial own small oil special authority project.
333,1618,8245.06,Credit,2021-04-16,Central another star series security possible lose.
334,2766,1120.54,Withdrawal,2022-09-01,Firm scientist range join.
335,7986,1302.69,Refund,2021-07-11,Various create mouth involve much run such.
336,694,5192.59,Credit,2025-07-22,Allow federal subject understand.
337,875,13.52,Deposit,2021-12-14,Family hand Mr.
338,5586,6615.82,Transfer,2023-11-25,Himself require big no church best yourself.
339,1272,9372.45,Credit,2024-02-09,Next pressure speak food down.
340,8433,5156.79,Credit,2024-03-17,Manager appear rate.
341,281,2808.96,Debit,2025-06-07,Behind wonder order admit.
342,4212,9381.42,Debit,2023-12-26,Mention blood system source fall involve alone.
343,2660,2310.65,Withdrawal,2023-10-13,Important pretty step down interview beautiful.
344,4075,1055.82,Credit,2024-07-06,Energy add glass Congress bag season.
345,22,4131.44,Credit,2025-03-08,Message opportunity wait training.
346,9927,895.09,Transfer,2025-02-19,Current bad as teach.
347,1245,2578.2,Credit,2023-06-12,Receive measure century its career send perform.
348,3607,8768.14,Withdrawal,2021-04-28,After look activity owner feeling now series.
349,9585,9583.44,Transfer,2025-01-26,Project never similar pick idea five.
350,9657,206.77,Transfer,2024-06-13,Behind culture together.
351,7618,7598.9,Withdrawal,2023-02-12,Ever example this knowledge full start test.
352,1501,9033.12,Credit,2022-07-16,Political remember street as anyone trade.
353,5235,7840.17,Refund,2021-08-07,Success knowledge deal move executive sport method.
354,7547,5350.78,Withdrawal,2024-03-22,Develop born world decide include.
355,8335,8972.06,Refund,2023-10-13,Eye each concern should final whom head.
356,9755,4311.83,Refund,2021-10-25,Stock too space whose current throw nation clear.
357,8916,7416.89,Refund,2024-01-01,Hospital add special wrong fire stuff.
358,501,2823.92,Refund,2020-12-11,Small its structure.
359,6947,7438.62,Withdrawal,2024-11-21,Without step interview never.
360,7519,6128.34,Debit,2024-12-08,Make bring much send week.
361,4819,772.99,Transfer,2020-09-22,Often off painting theory again.
362,2330,5059.51,Withdrawal,2021-09-29,Every growth what over make fire.
363,1551,7603.45,Transfer,2021-01-28,Own model medical suddenly.
364,3199,2416.73,Refund,2025-02-04,Ball left shoulder same expect.
365,9405,5881.85,Refund,2024-03-14,Week officer big suddenly contain fact attorney yeah.
366,3352,551.48,Refund,2021-01-14,Million crime campaign so a show free.
367,1062,4214.14,Transfer,2021-12-24,Record upon once avoid support prepare.
368,6742,7495.59,Deposit,2023-09-03,Politics charge play heavy store indicate represent.
369,7582,5233.08,Withdrawal,2025-05-14,Building project data fill else.
370,8940,8446.26,Refund,2025-07-08,History industry official heart.
371,1770,9821.61,Refund,2024-01-28,Too energy however pass new through arrive.
372,4020,9943.57,Debit,2021-05-19,Rich growth successful street service.
373,9574,1625.9,Deposit,2023-09-28,Forget maybe a wonder data.
374,3045,8190.09,Refund,2022-01-25,Happen at like happen human.
375,3472,4845.07,Credit,2021-10-17,Whole suggest investment clear.
376,602,6641.91,Credit,2023-02-18,Everyone behavior she final visit.
377,1289,773.61,Transfer,2021-03-18,Grow sit mother attack paper effort already.
378,8122,1742.28,Credit,2021-04-29,Girl list leave.
379,6424,2901.38,Refund,2024-01-25,Conference nice actually which.
380,2804,9156.68,Transfer,2023-10-23,Event fish experience surface southern whatever worker.
381,2811,1005.62,Transfer,2021-06-06,Voice director make education.
382,7652,3231.2,Transfer,2025-02-04,Miss mission very option summer watch almost how.
383,9247,8417.36,Debit,2023-02-07,Television something relationship process.
384,3498,8927.92,Debit,2020-09-28,Central dinner land live.
385,9722,2417.94,Refund,2023-05-22,Cell nothing on million play society board.
386,9865,3443.54,Refund,2025-01-30,Reality our machine white win southern college.
387,7732,9999.63,Refund,2025-06-23,Fish just owner future.
388,5428,726.07,Refund,2021-03-20,Send under call arrive hot.
389,1735,1030.9,Refund,2022-04-28,Mean day fact house.
390,6395,6633.97,Transfer,2022-05-01,Single recently blood lot mention conference news sort.
391,4599,8767.46,Withdrawal,2025-06-12,Section job fast.
392,8733,6605.2,Debit,2023-09-16,Oil lay during ten painting professional certainly trip.
393,5646,7880.49,Credit,2022-08-11,Wrong return bag.
394,4460,3728.03,Withdrawal,2022-06-24,Along television relationship.
395,8958,5316.62,Withdrawal,2022-02-05,Remain design other able.
396,3552,9685.52,Transfer,2025-04-13,Rise set per seem.
397,8492,7853.72,Transfer,2021-10-29,Several stay free physical.
398,4810,3970.27,Refund,2025-05-30,Store serious allow necessary hope any.
399,6140,4563.02,Debit,2023-04-25,In individual area draw rule note reveal subject.
400,7372,1396.02,Credit,2023-08-26,Within time performance behavior section magazine financial.
401,1446,2494.53,Credit,2022-01-21,Million wish full.
402,3602,3236.41,Withdrawal,2021-10-17,Statement thought create sometimes account.
403,4259,8824.99,Debit,2021-09-03,Old today still page.
404,6591,699.2,Debit,2023-12-26,Build bring husband herself.
405,5482,5322.45,Deposit,2024-08-09,Kitchen collection significant also.
406,4897,5603.4,Credit,2025-01-04,Home reality I remember short.
407,2581,5697.08,Transfer,2020-10-07,Especially wind thus people quite.
408,6688,5361.87,Withdrawal,2021-02-23,Picture its day heavy bank.
409,8832,4141.67,Transfer,2021-08-14,Claim country head along.
410,1542,8405.86,Deposit,2020-07-30,Arm the participant situation keep pay.
